name,cho_per_100g,calories_per_100g,protein_per_100g,fat_per_100g,fiber_per_100g,is_vegan,is_vegetarian,is_gluten_free,is_lactose_free,food_group,typical_serving_size_g
vino da tavola,4.0,123,0.1,0.0,0.0,False,False,True,False,carboidrati,100
vino leggero,1.7,73,0.1,0.0,0.0,False,False,True,False,carboidrati,100
Vino bianco,3.8,121,0.1,0.0,0.0,False,False,True,False,carboidrati,100
petite sirah vino rosso,3.9,125,0.1,0.0,15.7,False,True,True,False,grassi,15
vino non alcolico,0.3,2,0.1,0.0,0.0,False,False,True,False,dolcificanti,5
pinot nero vino rosso,3.4,121,0.1,0.0,0.0,False,False,True,False,grassi,15
pinotgris grigio vino bianco,3.0,122,0.1,0.0,0.0,False,False,True,False,grassi,15
vino bianco riesling,5.5,118,0.1,0.0,0.0,False,False,True,True,verdura,80
Barbera vino rosso,5.6,170,0.1,0.0,0.0,False,False,True,False,grassi,15
vino rosso lemberger,3.6,118,0.1,0.0,15.0,False,False,True,False,carboidrati,100
Merlot vino rosso,3.7,122,0.1,0.0,0.0,False,True,True,False,verdura,80
vino rosso sangiovese,3.9,126,0.1,0.0,0.0,False,False,True,False,carboidrati,100
vino bianco sauvignon blanc,3.0,119,0.1,0.0,0.0,False,False,True,True,condimenti,10
vino rosso syrah,3.8,122,0.1,0.0,0.0,False,False,True,False,verdura,80
vino rosso carignano,12.0,370,0.4,0.0,0.0,False,False,True,False,carboidrati,100
vino bianco pinot blanc,2.9,119,0.1,0.0,0.0,False,False,True,False,carboidrati,100
vino bianco semillone,4.6,121,0.1,0.0,14.9,False,False,False,False,grassi,15
vino da dessert secco,58.4,760,1.0,0.0,76.5,False,False,False,False,condimenti,10
vino rosso,3.8,125,0.1,0.0,0.0,False,True,True,False,grassi,15
vino rosso cabernet sauvignon,5.2,166,0.1,0.0,0.0,False,False,True,True,grassi,15
muscat vino bianco,7.8,123,0.1,0.0,0.0,False,False,True,False,dolcificanti,5
vino da cucina,0.3,2,0.028,0.0,0.0,False,False,True,True,carboidrati,100
Chardonnay vino bianco,4.3,168,0.1,0.0,0.0,False,False,True,True,verdura,80
vino rosso chiaro,4.4,122,0.1,0.0,15.0,False,False,True,False,carboidrati,100
sakè di riso,7.4,197,0.7,0.0,0.0,False,False,True,True,carboidrati,100
Vino bianco bianco fumé,3.3,121,0.1,0.0,15.4,False,False,True,True,condimenti,10
cabarnet franco vino rosso,3.6,122,0.1,0.0,0.0,False,True,True,False,carboidrati,100
glassa al cioccolato,13.0,81,0.2,3.6,0.2,True,False,True,True,dolcificanti,5
Zucchero bianco,5.0,19,0.0,0.0,0.0,False,False,True,True,dolcificanti,5
Supplente di uova,4.8,115,24.0,0.0,0.0,False,False,True,False,dolcificanti,5
sciroppo di agave,5.3,21,0.025,0.081,0.01,True,True,True,True,dolcificanti,5
splenda dolcificante,91.2,336,0.0,0.0,0.0,False,True,False,True,dolcificanti,5
estratto di vaniglia,0.5,12,0.0,0.069,0.0,False,False,True,False,carboidrati,100
tuorlo d'uovo essiccato,0.054,27,1.3,2.3,0.0,True,False,True,False,proteine,90
Zucchero granulato,4.2,16,0.0,0.0,0.0,True,False,True,True,dolcificanti,5
cioccolato da forno,8.7,145,3.7,15.2,4.8,False,False,False,False,dolcificanti,5
lievito per panificazione,3.1,18,1.4,0.3,1.4,False,False,True,True,dolcificanti,5
foundant,26.4,106,0.0,0.009,0.0,True,True,True,True,dolcificanti,5
zucchero di canna,4.1,16,0.024,0.0,0.0,True,False,True,True,dolcificanti,5
glassa bianca secca,196.4,768,4.8,0.0,0.0,True,True,True,False,verdura,80
Zucchero d'acero,10.9,42,0.036,0.061,0.0,False,False,True,True,dolcificanti,5
dolcificante per fruttosio,4.2,15,0.0,0.0,0.0,True,True,True,True,frutta,120
dolcificante alla saccarina,89.1,360,0.9,0.0,0.0,False,False,False,True,dolcificanti,5
bianco d'uovo crudo,0.2,17,3.6,0.063,0.0,True,False,True,True,proteine,90
zucchero di turbinado,4.6,18,0.0,0.0,0.0,True,True,True,True,dolcificanti,5
glassa alla vaniglia,313.7,1931,0.0,75.0,0.0,True,False,True,False,verdura,80
Edulcorante all'aspartame,89.1,365,2.2,0.0,0.0,True,True,True,False,dolcificanti,5
uova crude,0.4,80,7.0,5.3,0.0,False,True,True,True,condimenti,10
topping all'ananas,225.8,860,0.3,0.3,1.4,True,True,True,True,frutta,120
albume d'uovo essiccate,0.3,26,5.8,0.087,0.0,True,True,True,True,proteine,90
tuorlo d'uovo crudo,0.6,55,2.7,4.5,0.0,True,False,True,True,proteine,90
bicarbonato di sodio,0.0,0,0.0,0.0,0.0,False,False,True,True,dolcificanti,5
uovo essiccato,0.047,30,2.4,2.2,0.0,True,True,True,True,proteine,90
topping alla fragola,13.9,53,0.014,0.096,0.1,True,True,True,True,frutta,120
"lieviti di pane, secchi",1.6,13,1.6,0.3,1.1,False,False,True,False,carboidrati,100
pasta di mandorle,108.5,1040,20.4,63.0,10.9,False,False,True,True,carboidrati,100
crema di tartaro,1.8,8,0.0,0.0,0.01,True,True,True,True,frutta,120
popover mix secco,120.7,631,17.7,7.3,0.0,True,True,True,True,condimenti,10
uova di sostituzione in polvere,6.2,126,15.7,3.7,0.0,True,False,True,False,dolcificanti,5
gelatina in polvere,0.0,17,4.3,0.086,0.0,True,True,True,True,carboidrati,100
perle di tapioca,134.8,544,0.3,0.093,1.4,True,True,False,False,carboidrati,100
lievito in polvere,1.3,2,0.0,0.0,0.03,True,True,True,False,verdura,80
uovo bollito,0.7,93,7.5,6.4,0.0,True,True,True,True,proteine,90
Farina di miglio,86.9,444,12.8,5.1,4.2,False,False,True,False,carboidrati,100
farina triticale,95.1,439,17.1,2.4,19.0,True,True,True,False,carboidrati,100
farina di mais bianca,87.3,414,9.6,4.2,7.3,True,True,True,False,carboidrati,100
farina di riso bruno,120.8,574,11.4,4.4,7.3,False,False,True,False,carboidrati,100
Farina di sorgo,93.7,437,9.5,4.0,8.0,True,True,True,False,carboidrati,100
farina di mais a grani interi,93.8,442,9.9,4.4,8.9,False,True,True,True,carboidrati,100
farina di mais bianca,124.7,581,11.2,2.7,6.1,True,True,True,False,carboidrati,100
farina d'orzo,110.3,511,15.5,2.4,14.9,True,True,True,False,carboidrati,100
Farina di semi di cartamo,13.8,97,10.1,0.7,0.0,False,True,True,True,carboidrati,100
farina di sesamo,33.3,658,38.5,46.4,0.0,False,False,True,False,carboidrati,100
farina di frumento (grano) integrale,86.4,408,15.9,3.0,12.8,True,True,True,True,carboidrati,100
farina di mais giallo,89.9,422,8.1,4.5,8.5,False,False,True,False,carboidrati,100
farina di mais integrale,89.9,422,8.1,4.5,8.5,True,True,True,True,carboidrati,100
farina di semi di cotone a basso contenuto di grassi,10.2,94,14.1,0.4,0.0,True,True,True,True,carboidrati,100
farina di semi di girasole,1.4,13,1.9,0.013,0.2,False,True,True,True,carboidrati,100
farina di sesamo,7.4,160,4.8,13.6,0.0,False,False,True,False,carboidrati,100
farina di ghianda,68.3,626,9.4,37.7,0.0,True,True,True,True,carboidrati,100
farina di riso bianca,126.6,578,9.4,2.2,3.8,True,True,True,False,carboidrati,100
farina di sesamo a basso contenuto di grassi,10.0,94,14.2,0.5,0.0,True,False,True,True,carboidrati,100
Farina di patate,133.0,571,11.0,0.5,9.4,False,False,True,True,carboidrati,100
farina di mais gialla,124.7,581,11.2,2.7,6.1,False,False,True,False,carboidrati,100
Farina di segala,78.2,364,10.0,1.4,8.2,True,True,True,False,carboidrati,100
Farina di arrow root,112.8,457,0.4,0.1,4.4,True,True,True,True,carboidrati,100
farina di ceci,53.2,356,20.6,6.2,9.9,False,True,True,True,carboidrati,100
farina di frumento,95.4,455,12.9,1.2,3.4,False,False,True,False,carboidrati,100
amido di mais,116.8,488,0.3,0.03,1.2,False,False,True,True,dolcificanti,5
farina di carruba,5.3,13,0.3,0.061,2.4,False,False,True,False,carboidrati,100
farina di grano saraceno,84.7,402,15.1,3.7,12.0,False,False,True,False,carboidrati,100
torta di noci,63.7,503,6.0,27.1,0.0,True,False,True,True,carboidrati,100
torta di mele,46.4,331,3.0,15.6,0.0,False,False,True,True,carboidrati,100
crosta di torta di cialde di vaniglia,88.4,935,6.5,63.7,0.2,True,False,True,True,carboidrati,100
crosta di torta al cioccolato,117.4,881,11.1,40.8,4.9,True,True,True,True,carboidrati,100
strudel di mele,29.2,195,2.3,8.0,1.6,True,True,False,True,grassi,15
torta snack al cioccolato,30.2,200,1.8,8.0,1.6,False,False,True,True,carboidrati,100
torta fritta alla frutta,54.5,404,3.8,20.6,3.3,True,False,True,True,carboidrati,100
torta di zucca,40.9,316,7.0,14.4,0.0,True,True,True,True,carboidrati,100
torta di mais,7.5,35,0.7,0.2,0.2,False,False,True,True,carboidrati,100
torta snack spugna,26.9,157,1.5,4.8,0.4,True,True,True,True,carboidrati,100
pasta frolla danese con noci,29.7,280,4.6,16.4,1.3,True,False,True,True,carboidrati,100
torta alla crema di cioccolato,33.3,301,2.6,19.2,2.0,True,True,True,False,carboidrati,100
torta angelo cibo,16.2,72,1.7,0.2,0.4,True,True,True,False,carboidrati,100
torta di meringa al limone,49.7,362,4.8,16.4,0.0,True,False,True,True,carboidrati,100
pasta frolla con cannella,46.9,349,4.8,16.7,0.0,False,False,True,True,carboidrati,100
torta di caffè alla cannella,26.6,238,3.9,13.3,1.1,False,False,True,True,carboidrati,100
cheesecake,20.4,257,4.4,18.0,0.3,True,True,True,True,frutta,120
torta di frutta,26.5,139,1.2,3.9,1.6,True,False,True,True,carboidrati,100
crema all'uovo,31.0,293,14.2,12.9,0.0,True,True,True,True,proteine,90
torta di visone,79.2,477,4.3,17.8,4.3,False,False,True,False,carboidrati,100
torta gialla con glassa al cioccolato,79.7,546,4.6,25.6,2.2,False,False,True,False,carboidrati,100
pasticceria danese con frutta,45.1,335,4.8,15.9,0.0,True,False,True,True,frutta,120
torta bianca con glassa al cocco,70.8,399,4.9,11.5,1.1,True,False,True,False,carboidrati,100
pasta frolla con formaggio,28.7,353,5.8,24.6,0.0,True,False,True,True,carboidrati,100
crosta di torta cracker graham,117.7,917,9.3,45.4,3.5,True,False,True,True,carboidrati,100
torta di mirtilli,49.2,360,4.0,17.5,0.0,False,False,True,False,carboidrati,100
torta gialla con glassa alla vaniglia,37.6,239,2.2,9.3,0.2,True,False,True,False,carboidrati,100
crosta di torta,10.9,121,1.5,8.0,0.4,True,False,True,True,carboidrati,100
torta al cioccolato con glassa al cioccolato,72.9,537,4.8,27.7,3.0,True,True,True,True,carboidrati,100
torta di caffè al formaggio,33.7,258,5.3,11.6,0.8,True,False,True,True,carboidrati,100
torta alla crema di vaniglia,41.1,350,6.0,18.1,0.8,True,False,True,True,carboidrati,100
torta all'ananas,58.1,367,4.0,13.9,0.9,True,True,True,True,carboidrati,100
torta di pesche,38.5,262,2.2,11.7,0.9,True,False,True,False,carboidrati,100
torta di caffè alla frutta,25.8,156,2.6,5.1,1.3,True,True,True,True,carboidrati,100
torta di libbra,14.6,116,1.7,6.0,0.2,False,False,True,True,carboidrati,100
pane di torta di libbra,28.2,215,3.9,9.6,0.9,True,True,True,True,carboidrati,100
torta bianca,42.3,264,4.0,9.2,0.6,True,True,True,False,carboidrati,100
torta al caffè con glassa al cioccolato,48.4,298,4.5,9.7,1.8,True,False,True,False,carboidrati,100
torta di popcorn,8.0,38,1.0,0.3,0.3,False,False,True,True,carboidrati,100
torta alla crema di banana,390.2,3190,52.2,161.3,8.3,False,False,True,True,carboidrati,100
torta di mele al forno mcdonalds,12.3,91,0.9,4.4,0.6,False,False,True,True,carboidrati,100
pan di spugna,36.4,187,4.6,2.7,0.0,True,True,True,True,condimenti,10
torta gialla,36.0,245,3.6,9.9,0.5,False,False,True,False,carboidrati,100
shortcake,13.7,98,1.7,4.0,0.0,True,True,True,True,frutta,120
Torta di ciliegie,69.3,486,5.0,22.0,0.0,False,False,True,False,carboidrati,100
torta di mele olandese,61.0,397,3.0,15.8,2.2,False,False,True,True,carboidrati,100
torta al cioccolato,50.7,352,5.0,14.3,1.5,False,False,True,False,carboidrati,100
"MarshmallowCity name (optional, probably does not need a translation)",16.3,64,0.4,0.033,0.013,True,True,True,True,grassi,15
mela da zucchero,18.2,72,1.6,0.2,3.4,True,True,True,True,frutta,120
caramella,7.8,67,0.1,3.9,0.0,True,True,True,True,carboidrati,100
caramella alla vaniglia con noci,21.1,123,0.8,3.9,0.3,False,False,False,False,grassi,15
noccioline ricoperte di cioccolato,2.0,21,0.5,1.3,0.2,True,False,True,True,condimenti,10
caramello con noci ricoperte di cioccolato,8.5,66,1.3,2.9,0.6,True,False,True,False,grassi,15
Pan di zenzero,36.4,263,2.9,12.1,0.0,False,False,True,True,condimenti,10
rolo nestle,0.2,24,0.009,1.0,0.0,True,True,True,True,verdura,80
Fudge alla vaniglia,23.2,108,0.3,1.5,0.0,True,True,True,True,carboidrati,100
"halavahCity name (optional, probably does not need a translation)",42.3,328,8.7,15.1,3.2,True,True,True,True,condimenti,10
pralina,23.2,189,1.3,10.1,1.4,True,True,True,False,verdura,80
barretta di succo di frutta,15.6,67,0.9,0.089,0.8,True,True,True,True,frutta,120
frittelle di arachidi,20.2,138,2.1,5.4,0.7,False,True,True,True,grassi,15
"ButterscotchCity name (optional, probably does not need a translation)",4.8,21,0.079,0.2,0.0,True,True,True,True,frutta,120
chicchi di caffè al cioccolato,15.6,155,2.1,9.4,1.6,False,False,True,True,condimenti,10
torrone con mandorle,12.9,56,0.5,0.2,0.5,False,False,True,True,grassi,15
carruba,14.1,135,2.0,7.8,1.0,False,True,True,True,frutta,120
Burro d'arachidi,12.4,62,0.6,1.1,0.1,True,True,True,True,grassi,15
mandorle rivestite di zucchero,2.4,17,0.4,0.6,0.013,True,True,True,True,grassi,15
Marshmallow al cioccolato,19.0,118,1.1,4.7,0.6,True,True,True,True,condimenti,10
uva passa ricoperta di cioccolato,68.4,390,4.1,14.8,3.1,True,False,True,True,frutta,120
gomma da masticare senza zucchero,1.9,5,0.0,0.013,0.078,True,False,True,False,dolcificanti,5
gomma da masticare,2.9,11,0.0,0.032,0.012,True,False,True,True,carboidrati,100
sciroppo di cioccolato,25.4,109,0.8,0.4,1.0,True,True,True,True,dolcificanti,5
sciroppo di cioccolato fondente,12.0,67,0.9,1.7,0.5,False,False,True,False,dolcificanti,5
ms latte cioccolato mars,29.9,207,1.8,8.9,1.2,True,True,True,True,proteine,90
cioccolato al latte con mandorle,21.9,216,3.7,14.1,2.5,True,True,True,True,proteine,90
caramella al cioccolato,13.0,70,0.4,1.8,0.3,True,False,True,False,carboidrati,100
cioccolato al latte con cereali di riso,0.0,0,0.0,0.0,0.0,True,True,True,True,carboidrati,100
ms ms cioccolata d'arachidi mars,10.9,93,1.7,4.7,0.7,True,True,False,False,grassi,15
cioccolato fondente,18.0,165,1.5,9.7,2.2,False,False,True,False,frutta,120
cioccolato semidolce,107.4,806,7.1,50.4,9.9,False,False,True,False,grassi,15
dopo otto zecche nestle,6.7,36,0.1,1.0,0.2,True,True,True,True,dolcificanti,5
cioccolato al latte,4.2,37,0.5,2.1,0.2,True,False,True,True,proteine,90
cioccolato bianco,17.8,162,1.8,9.6,0.081,False,False,True,True,condimenti,10
cioccolato,24.8,208,1.6,14.0,2.3,False,False,True,False,condimenti,10
twix mars,18.8,146,1.4,7.2,0.3,True,True,True,True,verdura,80
kit kat nestle,7.6,62,0.7,3.3,0.2,True,True,True,True,carboidrati,100
Snickers mars,35.1,280,4.3,13.6,1.3,True,True,True,True,verdura,80
lattiginosa mars,41.3,264,2.3,10.0,0.6,True,True,True,False,verdura,80
barra clif,44.5,235,10.0,4.0,5.0,True,True,True,True,frutta,120
Gocce di gomma,4.4,18,0.0,0.042,0.0,True,True,True,True,dolcificanti,5
Skittles wild bery mars,56.3,249,0.1,2.6,0.0,True,True,True,True,verdura,80
Skittles mars originale,56.3,251,0.1,2.7,0.0,True,True,True,True,proteine,90
Skittles mars tropicale,56.3,251,0.1,2.7,0.0,True,True,True,True,frutta,120
cuoio di frutta,12.0,52,0.029,0.4,0.0,True,True,True,True,frutta,120
Taffy,13.7,60,0.087,0.5,0.0,True,True,True,True,frutta,120
eisbons mac iver,0.0,23,0.0,0.0,0.0,True,True,True,True,carboidrati,100
caramelle,7.8,39,0.5,0.8,0.0,True,True,True,True,condimenti,10
caramelle dure,5.9,24,0.0,0.067,0.0,True,True,True,False,frutta,120
Gelatine,1.0,4,0.0,0.043,0.083,False,False,True,True,proteine,90
Gelatine,14.7,56,0.005,0.069,0.2,False,False,True,True,proteine,90
germe di grano tostato,14.9,115,8.7,3.2,4.5,True,True,True,True,carboidrati,100
riso croccante bruno,27.5,124,2.3,1.1,2.3,False,False,False,False,carboidrati,100
fiocchi di crusca asda,0.2,109,0.0,0.6,0.0,False,False,False,False,carboidrati,100
amaranto cotto,46.0,251,9.3,3.9,5.2,False,False,False,False,carboidrati,100
triticale,138.5,645,25.1,4.0,0.0,True,True,True,True,grassi,15
orzo greggio,9.3,42,1.2,0.1,1.9,True,True,True,False,grassi,15
bulgur secco,37.9,171,6.1,0.7,9.2,True,True,True,True,condimenti,10
noccioli di cotone tostati,32.6,754,48.6,54.1,8.2,False,True,False,False,dolcificanti,5
crusca di riso,58.6,373,15.8,24.6,24.8,True,False,True,False,carboidrati,100
captti roti pane indiano,0.089,491,7.0,2.5,0.0,False,True,True,True,carboidrati,100
quinoa cotta,39.4,222,8.1,3.6,5.2,False,True,True,False,frutta,120
Dar vida swiss originale,0.5,116,0.0,3.1,0.0,True,True,True,True,frutta,120
teff cotto,50.0,255,9.8,1.6,7.1,True,True,True,True,frutta,120
couscous secco,134.0,650,22.1,1.1,8.7,True,True,True,True,condimenti,10
weetabix weetabix,0.0,2078,0.0,11.5,0.0,True,True,True,True,grassi,15
crusca di avena cotta,25.1,88,7.0,1.9,5.7,True,False,False,False,frutta,120
Grano saraceno cotto,33.5,155,5.7,1.0,4.5,False,False,True,False,carboidrati,100
Miglio soffiato,16.8,74,2.7,0.7,0.6,False,True,False,False,dolcificanti,5
crusca di avena cruda,4.9,23,1.3,0.5,1.2,True,False,False,False,carboidrati,100
olio di popcorn spuntato,5.0,64,0.8,4.8,0.9,False,False,True,False,grassi,15
kamut cotto,52.4,251,11.1,1.6,6.7,False,False,True,True,frutta,120
crusca di frumento,37.4,125,9.0,2.5,24.8,True,False,True,True,frutta,120
popcorn di formaggio,5.7,58,1.0,3.7,1.1,True,True,True,True,proteine,90
Kelloggs crush all'uvetta,21.2,90,1.9,0.5,0.0,True,True,True,True,carboidrati,100
couscous cotto,36.5,176,6.0,0.3,2.2,True,True,True,True,condimenti,10
cheerios multigrain mulini generali,1.0,4,0.038,0.005,0.1,False,True,True,True,grassi,15
bulgur cotto,33.8,151,5.6,0.4,8.2,True,True,True,True,frutta,120
popcorn aria scoppiata,6.2,31,1.0,0.4,1.2,True,True,True,True,carboidrati,100
teff grezzo,141.1,708,25.7,4.6,15.4,True,True,True,False,carboidrati,100
farro cotto,51.3,246,10.7,1.6,7.6,False,False,True,False,frutta,120
Miglio greggio,145.7,756,22.0,8.4,17.0,False,True,True,False,grassi,15
popcorn non popped,20.9,106,3.1,1.2,3.6,True,True,True,True,condimenti,10
frumento integrale cotto,33.2,150,4.8,1.0,3.9,True,True,True,True,frutta,120
grano germogliato,45.9,214,8.1,1.4,1.2,True,True,True,True,carboidrati,100
frumento (grano) intero secco,21.1,96,3.1,0.6,2.7,False,False,True,False,carboidrati,100
popcorn al caramello,22.4,122,1.1,3.6,1.5,False,False,True,True,carboidrati,100
frumento soffiato,9.6,44,1.8,0.1,0.5,False,False,True,False,frutta,120
roggenmischbrot sonnenblumenkerne aldi,0.0,82,0.0,3.1,0.0,True,True,True,True,frutta,120
germe di frumento,16.1,112,7.2,3.0,4.1,True,True,True,True,frutta,120
popcorn a microonde,49.8,465,7.3,26.3,8.7,True,True,True,True,condimenti,10
Cotture di miglio,41.2,207,6.1,1.7,2.3,False,True,True,False,dolcificanti,5
kamut grezzo,130.9,627,27.3,4.1,16.9,True,True,True,True,frutta,120
frumento duro,136.6,651,26.3,4.7,0.0,False,False,True,True,frutta,120
SORGO,143.3,651,21.7,6.3,12.1,True,True,True,True,carboidrati,100
Frumento bianco,145.7,657,21.7,3.3,23.4,False,False,True,True,frutta,120
segala,128.2,571,17.5,2.8,25.5,True,True,True,True,frutta,120
spelta cruda,122.1,588,25.4,4.2,18.6,True,True,True,True,carboidrati,100
grano saraceno crudo,8.6,41,1.6,0.4,1.2,False,False,True,False,carboidrati,100
Miele cereali mulini generali,3.0,104,0.0,2.0,0.0,True,True,True,True,dolcificanti,5
orzo cotto,44.3,193,3.5,0.7,6.0,False,False,True,False,carboidrati,100
avena,6.6,39,1.7,0.7,1.1,True,True,False,True,verdura,80
amaranto crudo,6.5,37,1.4,0.7,0.7,False,False,True,True,carboidrati,100
semolina,121.6,601,21.2,1.8,6.5,True,True,False,False,verdura,80
quinoa secca,38.5,221,8.5,3.6,4.2,False,False,False,False,frutta,120
grano tritato,36.2,155,5.2,1.0,5.5,False,False,True,False,carboidrati,100
coda di cat,1.0,5,0.2,0.0,0.9,False,True,True,True,grassi,15
Granola bar di arachidi,15.0,116,2.4,5.7,0.7,False,False,True,True,carboidrati,100
di vaniglia o di bluberry,0.9,49,0.0,1.4,0.0,False,False,True,False,condimenti,10
noce di cocco granola bar,15.6,150,1.5,9.1,1.8,True,False,True,False,carboidrati,100
mandorla granola bar,14.9,119,1.8,6.1,1.2,True,True,True,True,carboidrati,100
barretta di granola con gocce di cioccolato,17.3,105,1.8,3.9,1.1,True,False,True,True,carboidrati,100
frutta granola bar,18.6,82,1.4,0.2,1.8,True,True,True,True,carboidrati,100
ranola bar,13.5,99,2.1,4.2,1.1,True,True,True,True,carboidrati,100
barretta di arachidi,19.0,209,6.2,13.5,1.6,False,False,False,True,grassi,15
barretta di cereali per il latte,18.0,103,1.6,2.7,0.1,True,True,True,True,proteine,90
barretta di riso alle mandorle,18.1,128,2.0,5.7,1.0,True,False,True,True,carboidrati,100
Pizzetti di frutta a guscio,10.3,55,0.3,1.3,0.3,False,False,True,False,frutta,120
riso frumento cereali bar,16.0,90,2.0,2.0,0.4,False,True,True,False,carboidrati,100
Barra di riso croccante,20.4,113,1.4,3.8,0.6,True,False,True,True,carboidrati,100
riso integrale crudo,142.9,685,14.7,5.4,6.5,True,True,True,True,carboidrati,100
Pilaf di riso cotto,61.1,352,7.0,8.8,1.4,True,True,True,False,carboidrati,100
riso aromatizzato di manzo crudo,139.1,657,19.8,2.3,2.9,True,True,True,False,carboidrati,100
riso selvatico cotto,35.0,166,6.5,0.6,3.0,False,False,False,False,carboidrati,100
riso selvatico crudo,119.8,571,23.6,1.7,9.9,False,False,True,False,carboidrati,100
congee con gamberi di maiale e calamaro più uova,0.0,178,0.0,0.3,0.0,True,True,True,True,grassi,15
pasta di riso bianco cotta,43.3,246,5.1,5.7,5.1,False,False,True,False,carboidrati,100
riso aromatizzato al pollo crudo,127.3,601,17.9,2.2,2.0,True,True,True,False,carboidrati,100
riso bianco istantaneo crudo,78.2,361,7.4,0.9,1.8,False,False,False,True,carboidrati,100
patatine fritte di riso,24.1,107,1.8,0.4,0.2,False,False,True,False,carboidrati,100
riso bianco parboiled crudo,149.6,692,13.9,1.9,3.3,False,False,True,True,carboidrati,100
riso bianco istantaneo cotto,41.4,193,3.6,0.8,1.0,True,True,False,True,carboidrati,100
riso pilaf crudo,155.7,732,21.3,2.8,2.4,False,False,True,False,carboidrati,100
torta di cracker di riso,23.0,111,2.0,1.2,1.2,True,True,True,True,carboidrati,100
riso bianco parboiled cotto,41.2,194,4.6,0.6,1.4,False,False,True,True,carboidrati,100
riso bianco evaporato,44.7,199,4.2,0.4,1.2,True,True,True,True,carboidrati,100
torta di riso marrone,7.3,35,0.7,0.3,0.4,False,False,True,False,carboidrati,100
riso bianco glutinoso crudo,151.1,685,12.6,1.0,5.2,False,False,True,True,carboidrati,100
pasta di riso bianco cruda,122.8,600,15.3,4.0,0.0,False,False,True,False,carboidrati,100
riso bianco glutinoso cotto,36.7,169,3.5,0.3,1.7,False,False,True,True,carboidrati,100
riso bruno cotto,45.8,218,4.5,1.6,3.5,False,False,True,False,carboidrati,100
riso aromatizzato alla carne di manzo cotto,54.4,319,7.0,7.9,1.5,True,True,True,False,carboidrati,100
riso bianco cotto,44.5,205,4.3,0.4,0.6,False,False,True,False,carboidrati,100
riso aromatizzato al pollo cotto,54.8,317,6.2,8.0,1.6,True,True,True,False,carboidrati,100
riso bianco crudo,147.9,675,13.2,1.2,2.4,False,False,True,False,carboidrati,100
imitazione del formaggio,1.1,441,28.3,36.2,0.0,True,True,True,True,proteine,90
cheshire cheese,1.4,110,6.6,8.7,0.0,True,True,True,True,condimenti,10
Monterey cheese,0.8,421,27.7,34.2,0.0,True,True,True,True,condimenti,10
formaggio di edam,0.4,107,7.5,8.3,0.0,True,True,True,True,proteine,90
Fontina cheese,1.7,420,27.6,33.6,0.0,True,True,False,True,frutta,120
monterey formaggio a basso contenuto di grassi,0.8,350,31.9,24.4,0.0,True,True,True,True,proteine,90
colby cheese,2.9,445,26.8,36.3,0.0,True,True,True,True,condimenti,10
formaggio americano,0.9,93,4.5,7.9,0.0,True,True,True,True,proteine,90
formaggio azzurro,0.7,106,6.4,8.6,0.0,True,True,True,True,proteine,90
nettarina,15.8,66,1.6,0.5,2.6,True,True,True,True,frutta,120
Oro di kiwi,12.8,51,0.8,0.2,1.1,True,True,True,True,frutta,120
pera spinosa cruda,1.9,8,0.001,0.072,1.0,True,True,True,True,frutta,120
ananas,11.8,45,0.5,0.1,1.3,True,True,True,True,frutta,120
"rowanCity name (optional, probably does not need a translation)",54.5,253,5.2,4.6,14.1,True,True,True,True,verdura,80
Uve da muscadina,0.8,3,0.014,0.056,0.2,True,False,True,True,dolcificanti,5
heidelbeeren jutro,0.4,17,0.0,0.2,0.0,True,True,True,True,carboidrati,100
prugne in umido,83.2,316,3.4,0.7,0.0,False,False,True,True,frutta,120
tangerina,10.1,40,0.6,0.2,1.4,True,True,True,True,frutta,120
prugne,62.3,237,2.6,0.5,0.0,True,False,True,True,frutta,120
buccia di limone,0.3,1,0.032,0.002,0.2,False,False,False,False,frutta,120
banana,34.3,134,1.6,0.5,3.9,True,True,True,True,frutta,120
Lamponi,1.2,5,0.1,0.034,0.7,True,True,True,False,grassi,15
albicocca,3.9,17,0.5,0.1,0.7,True,True,True,True,frutta,120
Guava alla fragola,1.0,4,0.01,0.008,0.3,True,True,True,True,frutta,120
kiwi verde,10.1,42,0.8,0.4,2.1,True,True,True,True,frutta,120
fichi,9.6,37,0.4,0.2,1.5,True,True,True,False,frutta,120
clementina,8.9,35,0.6,0.1,1.3,True,True,False,True,grassi,15
arancione,21.6,86,1.7,0.2,4.4,False,True,True,True,proteine,90
Bartlett pera,26.6,112,0.7,0.3,5.5,True,True,True,True,frutta,120
Ribes bianco rosso,15.5,63,1.6,0.2,4.8,False,False,True,True,proteine,90
mirtilli,21.4,84,1.1,0.5,3.6,True,True,False,True,grassi,15
more di gelso,1.5,6,0.2,0.049,0.3,False,False,True,True,dolcificanti,5
susina di java,0.5,2,0.034,0.029,0.0,True,True,True,True,frutta,120
purea di prugna secca,11.7,46,0.4,0.02,0.6,False,False,True,False,frutta,120
salsa di mele,27.5,102,0.4,0.2,2.7,False,False,False,False,condimenti,10
More di rovo crude,13.8,62,2.0,0.7,7.6,True,True,True,True,condimenti,10
prugna,7.5,30,0.5,0.2,0.9,True,False,True,True,frutta,120
uva americana,0.4,2,0.035,0.087,0.09,True,True,True,True,frutta,120
pesca,14.3,59,1.4,0.4,2.3,True,False,True,True,frutta,120
